Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
1,0.2209,1.8413,-0.5061,77,13.793,4.36
1,1.8825,1.8413,-0.5061,77,13.793,4.36
1,2.6977,2.6439,-0.5109,69,10.146,4.36
1,2.7815,2.4652,0.4473,69,10.146,4.36
1,0.9176,1.5431,0.2373,41,10.146,4.36
1,0.3478,0.8173,0.1164,41,12.403,4.36
1,1.8597,0.9734,-0.1286,38,12.403,4.36
1,1.6969,0.9734,-0.1286,38,12.403,4.36
1,0.5226,1.3223,0.263,38,12.403,4.36
1,0.3083,1.3853,-0.3582,38,11.633,4.36
1,0.0844,1.0453,-0.4967,36,11.633,4.36
1,1.1247,0.6044,0.1102,36,11.633,4.36
